,ticket_id,fault_time,ticket_fm_nonfm,ticket_rca_result_dtl_code,root_cause_code,ticket_rca_type,ticket_type,root_cause_domain,root_cause_type,root_cause_instlocationa,root_cause_checka,root_cause_officea,root_cause_portz,root_cause_checkz,transcircuitseq,root_cause_equip_typez,root_cause_instlocationz,root_cause_sysnamez,root_cause_equip_typea,root_cause_sysnamea,root_cause_porta,root_cause_officez,ntt_label
0,3604002,2021-01-01 3:17,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_NK,PowerFail,GNMSB0433    ,False,R00981,0,True,4275118,0,GNHAB0280    ,BS함안선관위-PTS-GN-HAMAN,PTN320ALU,마산중-PTS-1305-02-02,r1sr1sl2/ETHLocPort#16#1,R01403,TT
1,3604002,2021-01-01 3:17,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_NK,PowerFail,GNMSB0433    ,False,R00981,0,True,4275118,0,GNHAB0280    ,BS함안선관위-PTS-GN-HAMAN,PTN320ALU,마산중-PTS-1305-02-02,r1sr1sl2/ETHLocPort#16#1,R01403,TT
2,3604035,2021-01-01 3:20,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_NK,PowerFail,JBNWB0129    ,False,R03271,0,True,3978548,0,JBNWB0048    ,JBNW남원법원-PTS-JJ-NW-JW-1071,PTN320ALU,남원-PTS-0206-01-01,r1sr1sl12/ETHLocPort#1#1,R03271,TT
3,3604035,2021-01-01 3:20,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_NK,PowerFail,JBNWB0129    ,False,R03271,0,True,3978548,0,JBNWB0048    ,JBNW남원법원-PTS-JJ-NW-JW-1071,PTN320ALU,남원-PTS-0206-01-01,r1sr1sl12/ETHLocPort#1#1,R03271,TT
4,3633239,2021-01-02 21:44,nonFM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,GGPJB4529    ,False,R00908,0,True,0,0,0,0,PTNTFM1010,GG운정우체국m-PTS-0101-01-01,PSUA,0,TT
5,3633239,2021-01-02 21:44,nonFM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,GGPJB4529    ,False,R00908,0,True,0,0,0,0,PTNTFM1010,GG운정우체국m-PTS-0101-01-01,PSUA,0,TT
6,3633241,2021-01-02 21:44,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_NK,PowerFail,GGPJB0002    ,False,R00908,0,True,3931218,0,GGPJB6482    ,GG파주시법원1층_등기소m-PTS-UJB-PJ-SB-2123,PTN320ALU,파주-PTS-0310-01-01,r1sr1sl12/ETHLocPort#11#1,R00908,TT
7,3633241,2021-01-02 21:44,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_NK,PowerFail,GGPJB0002    ,False,R00908,0,True,3931218,0,GGPJB6482    ,GG파주시법원1층_등기소m-PTS-UJB-PJ-SB-2123,PTN320ALU,파주-PTS-0310-01-01,r1sr1sl12/ETHLocPort#11#1,R00908,TT
8,3633242,2021-01-02 21:44,nonFM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,GGPJ02011    ,False,R00908,0,True,0,0,0,0,PTNTFM1010,GG신용보증기금_파주지점m-PTS-0101-01-01,PSUA,0,TT
9,3633242,2021-01-02 21:44,nonFM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,GGPJ02011    ,False,R00908,0,True,0,0,0,0,PTNTFM1010,GG신용보증기금_파주지점m-PTS-0101-01-01,PSUA,0,TT
10,3624904,2021-01-02 8:38,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_NK,PowerFail,GWGLB0358    ,False,R03485,0,True,4864463,0,GWSMB0160    ,GW삼척등기소F-PTS-CC-SC-SB-2091,PTN320ALU,동강중-PTS-1007-01-01,r1sr1sl12/ETHLocPort#17#1,R03524,TT
11,3624904,2021-01-02 8:38,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_NK,PowerFail,GWGLB0358    ,False,R03485,0,True,4864463,0,GWSMB0160    ,GW삼척등기소F-PTS-CC-SC-SB-2091,PTN320ALU,동강중-PTS-1007-01-01,r1sr1sl12/ETHLocPort#17#1,R03524,TT
12,3637294,2021-01-03 13:51,nonFM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,GGYPP0624    ,False,R00755,0,True,0,0,0,0,PTNTFM1010,서종우체국-PTS-0101-01-01,PSUA,0,TT
13,3637294,2021-01-03 13:51,nonFM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,GGYPP0624    ,False,R00755,0,True,0,0,0,0,PTNTFM1010,서종우체국-PTS-0101-01-01,PSUA,0,TT
14,3637334,2021-01-03 13:55,nonFM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,JNSCP0371    ,False,R03830,0,True,0,0,0,0,PTNTFM1010,JNBS송광우체국-PTS-1111-02-01,PSUA,0,TT
15,3637334,2021-01-03 13:55,nonFM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,JNSCP0371    ,False,R03830,0,True,0,0,0,0,PTNTFM1010,JNBS송광우체국-PTS-1111-02-01,PSUA,0,TT
16,3650707,2021-01-04 15:00,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_NK,PowerFail,SLSGB0003    ,False,R00416,0,True,4343713,0,SLDDB4089    ,SL성동선거관리1n-PTS-SU-DONGDAEMUN,PTN320ALU,행당-PTS-0331-01-01,r1sr1sl4/ETHLocPort#2#1,R00427,TT
17,3650707,2021-01-04 15:00,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_NK,PowerFail,SLSGB0003    ,False,R00416,0,True,4343713,0,SLDDB4089    ,SL성동선거관리1n-PTS-SU-DONGDAEMUN,PTN320ALU,행당-PTS-0331-01-01,r1sr1sl4/ETHLocPort#2#1,R00427,TT
18,3651034,2021-01-04 15:34,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_NK,PowerFail,SLSGB0003    ,False,R00416,0,True,4343714,0,SLDDB4089    ,SL성동선거관리1n-PTS-SU-DONGDAEMUN,PTN320ALU,행당-PTS-0331-01-01,r1sr1sl5/ETHLocPort#2#1,R00427,TT
19,3651034,2021-01-04 15:34,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_NK,PowerFail,SLSGB0003    ,False,R00416,0,True,4343714,0,SLDDB4089    ,SL성동선거관리1n-PTS-SU-DONGDAEMUN,PTN320ALU,행당-PTS-0331-01-01,r1sr1sl5/ETHLocPort#2#1,R00427,TT
20,3651163,2021-01-04 15:48,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_NK,PowerFail,JBGSB0002    ,False,R03204,0,True,4720029,0,JBGSB3185    ,군산공항출장소지상_1사무실-PTS-GWANGJU-A5453,PTN320ALU,서군산-PTS-0704-01-01,r1sr1sl14/ETHLocPort#15#1,R03204,TT
21,3651163,2021-01-04 15:48,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_NK,PowerFail,JBGSB0002    ,False,R03204,0,True,4720029,0,JBGSB3185    ,군산공항출장소지상_1사무실-PTS-GWANGJU-A5453,PTN320ALU,서군산-PTS-0704-01-01,r1sr1sl14/ETHLocPort#15#1,R03204,TT
22,3640482,2021-01-03 19:47,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_NK,PowerFail,SLSPB0001    ,False,R00444,0,True,4301954,0,SLSPB6156    ,SL송파구선관위1W-PTS-SU-SONGPA,PTN320ALU,가락-PTS-0330-01-01,r1sr1sl13/ETHLocPort#11#1,R00443,TT
23,3640482,2021-01-03 19:47,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_NK,PowerFail,SLSPB0001    ,False,R00444,0,True,4301954,0,SLSPB6156    ,SL송파구선관위1W-PTS-SU-SONGPA,PTN320ALU,가락-PTS-0330-01-01,r1sr1sl13/ETHLocPort#11#1,R00443,TT
24,3641677,2021-01-03 22:00,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_NK,PowerFail,BSDLB2760    ,False,R00950,0,True,3937365,0,BSGMB0362    ,부산대정보전산실-PTS-MR,PTN320ALU,동래2-PTS-0501-01-01,r1sr1sl15/ETHLocPort#19#1,R00951,TT
25,3641677,2021-01-03 22:00,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_NK,PowerFail,BSDLB2760    ,False,R00950,0,True,3937365,0,BSGMB0362    ,부산대정보전산실-PTS-MR,PTN320ALU,동래2-PTS-0501-01-01,r1sr1sl15/ETHLocPort#19#1,R00951,TT
26,3651845,2021-01-04 17:21,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNCAB0482    ,False,R02131,0,True,4770962,0,CNCAB0839    ,CN수신우체국-PTS-0101-01-01,PTNTFM3064,수신R1-PTS-0205-03-03,S3-P1,R02131,TT
27,3651845,2021-01-04 17:21,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNCAB0482    ,False,R02131,0,True,4770962,0,CNCAB0839    ,CN수신우체국-PTS-0101-01-01,PTNTFM3064,수신R1-PTS-0205-03-03,S3-P1,R02131,TT
28,3652104,2021-01-04 18:01,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNGJB0222    ,False,R02178,0,True,4766434,0,CNGJB2408    ,신풍우체국지상_1-PTS-0101-01-01,PTNTFM5480,유구-PTS-0207-01-01,S8-P39,R02178,NTT
29,3652104,2021-01-04 18:01,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNGJB0222    ,False,R02178,0,True,4766434,0,CNGJB2408    ,신풍우체국지상_1-PTS-0101-01-01,PTNTFM5480,유구-PTS-0207-01-01,S8-P39,R02178,NTT
30,3652107,2021-01-04 18:01,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNBYB0136    ,False,R02217,0,True,4730401,0,CNBYB0185    ,CN내산우체국-PTS-0101-01-01,PTNTFM3064,내산R3-PTS-0207-03-01,S3-P1,R02217,NTT
31,3652107,2021-01-04 18:01,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNBYB0136    ,False,R02217,0,True,4730401,0,CNBYB0185    ,CN내산우체국-PTS-0101-01-01,PTNTFM3064,내산R3-PTS-0207-03-01,S3-P1,R02217,NTT
32,3652102,2021-01-04 18:01,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNSCB0117    ,False,R02267,0,True,4730262,0,CNSCB0506    ,화양우체국통신실-PTS-0101-01-01,PTNTFM5480,서천-PTS-0110-01-01,S8-P37,R02267,NTT
33,3652102,2021-01-04 18:01,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNSCB0117    ,False,R02267,0,True,4730262,0,CNSCB0506    ,화양우체국통신실-PTS-0101-01-01,PTNTFM5480,서천-PTS-0110-01-01,S8-P37,R02267,NTT
34,3652103,2021-01-04 18:01,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CBYDB0001    ,False,R02475,0,True,4758883,0,CBYDP0201    ,CB용산우체국-PTS-0101-01-01,PTNTFM5480,충영동-PTS-0108-01-01,S8-P37,R02475,NTT
35,3652103,2021-01-04 18:01,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CBYDB0001    ,False,R02475,0,True,4758883,0,CBYDP0201    ,CB용산우체국-PTS-0101-01-01,PTNTFM5480,충영동-PTS-0108-01-01,S8-P37,R02475,NTT
36,3652114,2021-01-04 18:00,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNSCB0114    ,False,R02267,0,True,4730266,0,CNSCB0510    ,시초우체국통신실-PTS-0101-01-01,PTNTFM3064,문산R1-PTS-0102-03-01,S4-P1,R02267,NTT
37,3652114,2021-01-04 18:00,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNSCB0114    ,False,R02267,0,True,4730266,0,CNSCB0510    ,시초우체국통신실-PTS-0101-01-01,PTNTFM3064,문산R1-PTS-0102-03-01,S4-P1,R02267,NTT
38,3652136,2021-01-04 18:03,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CBJNB0098    ,False,R02524,0,True,4800702,0,CBJNB0120    ,CB이월우체-PTS-0101-01-01,PTNTFM3064,이월R1-PTS-0207-03-03,S3-P12,R02524,NTT
39,3652136,2021-01-04 18:03,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CBJNB0098    ,False,R02524,0,True,4800702,0,CBJNB0120    ,CB이월우체-PTS-0101-01-01,PTNTFM3064,이월R1-PTS-0207-03-03,S3-P12,R02524,NTT
40,3652148,2021-01-04 18:03,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNGJB0185    ,False,R02153,0,True,4771789,0,CNGJB1248    ,의당우체국사무실-PTS-0101-01-01,PTNTFM3064,의당R1-PTS-0101-01-01,S3-P1,R02153,NTT
41,3652148,2021-01-04 18:03,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNGJB0185    ,False,R02153,0,True,4771789,0,CNGJB1248    ,의당우체국사무실-PTS-0101-01-01,PTNTFM3064,의당R1-PTS-0101-01-01,S3-P1,R02153,NTT
42,3652149,2021-01-04 18:02,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CBUSB0002    ,False,R02494,0,True,4724199,0,CBUSP0267    ,CB소이우체국-PTS-0101-01-01,PTNTFM5480,음성-PTS-0703-01-01,S7-P38,R02494,NTT
43,3652149,2021-01-04 18:02,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CBUSB0002    ,False,R02494,0,True,4724199,0,CBUSP0267    ,CB소이우체국-PTS-0101-01-01,PTNTFM5480,음성-PTS-0703-01-01,S7-P38,R02494,NTT
44,3652153,2021-01-04 18:02,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CBJNB0101    ,False,R02524,0,True,4800708,0,CBJNP0274    ,CB초평우체국-PTS-0101-01-01,PTNTFM3064,초평R1-PTS-0206-01-01,S4-P12,R02524,NTT
45,3652153,2021-01-04 18:02,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CBJNB0101    ,False,R02524,0,True,4800708,0,CBJNP0274    ,CB초평우체국-PTS-0101-01-01,PTNTFM3064,초평R1-PTS-0206-01-01,S4-P12,R02524,NTT
46,3652154,2021-01-04 18:02,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CBJNB0093    ,False,R02524,0,True,4800711,0,CBJNP0276    ,CB문백우체국-PTS-0101-01-01,PTNTFM3064,문백R1-PTS-0103-01-01,S3-P12,R02524,NTT
47,3652154,2021-01-04 18:02,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CBJNB0093    ,False,R02524,0,True,4800711,0,CBJNP0276    ,CB문백우체국-PTS-0101-01-01,PTNTFM3064,문백R1-PTS-0103-01-01,S3-P12,R02524,NTT
48,3652150,2021-01-04 18:02,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNBYB0145    ,False,R02217,0,True,4730436,0,CNBYB0190    ,부여양화우체국-PTS-0101-01-01,PTNTFM3064,입포R1-PTS-0205-08-01,S4-P1,R02217,NTT
49,3652150,2021-01-04 18:02,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNBYB0145    ,False,R02217,0,True,4730436,0,CNBYB0190    ,부여양화우체국-PTS-0101-01-01,PTNTFM3064,입포R1-PTS-0205-08-01,S4-P1,R02217,NTT
50,3652165,2021-01-04 18:02,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CBJNB0001    ,False,R02524,0,True,4799791,0,CBJNP0275    ,CB백곡우체국-PTS-0101-01-01,PTNTFM5480,진천-PTS-0504-01-01,S7-P35,R02524,NTT
51,3652165,2021-01-04 18:02,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CBJNB0001    ,False,R02524,0,True,4799791,0,CBJNP0275    ,CB백곡우체국-PTS-0101-01-01,PTNTFM5480,진천-PTS-0504-01-01,S7-P35,R02524,NTT
52,3652180,2021-01-04 18:07,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNSSB0210    ,False,R02202,0,True,4755335,0,CNSSB1583    ,CN운산우체국-PTS-0101-03-03,PTNTFM3064,여미R1-PTS-0207-08-08,S4-P1,R02202,NTT
53,3652180,2021-01-04 18:07,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNSSB0210    ,False,R02202,0,True,4755335,0,CNSSB1583    ,CN운산우체국-PTS-0101-03-03,PTNTFM3064,여미R1-PTS-0207-08-08,S4-P1,R02202,NTT
54,3652196,2021-01-04 18:04,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CBJCB0104    ,False,R02442,0,True,4711607,0,CBJCP0313    ,CB한수우체국-PTS-0101-01-01,PTNTFM3064,한수R1-PTS-0201-03-03,S4-P12,R02442,NTT
55,3652196,2021-01-04 18:04,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CBJCB0104    ,False,R02442,0,True,4711607,0,CBJCP0313    ,CB한수우체국-PTS-0101-01-01,PTNTFM3064,한수R1-PTS-0201-03-03,S4-P12,R02442,NTT
56,3652198,2021-01-04 18:08,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNGJ04281    ,False,R02153,0,True,4771764,0,CNGJB1254    ,정안우체국사무실-PTS-0101-01-01,PTNTFM3064,광정R1-PTS-0205-01-01,S3-P1,R02153,NTT
57,3652198,2021-01-04 18:08,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNGJ04281    ,False,R02153,0,True,4771764,0,CNGJB1254    ,정안우체국사무실-PTS-0101-01-01,PTNTFM3064,광정R1-PTS-0205-01-01,S3-P1,R02153,NTT
58,3652200,2021-01-04 18:08,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNASB0395    ,False,R02192,0,True,4730130,0,CNASB1824    ,탕정우체국-PTS-0101-01-01,PTNTFM3064,탕정R1-PTS-0701-03-01,S3-P1,R02192,NTT
59,3652200,2021-01-04 18:08,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNASB0395    ,False,R02192,0,True,4730130,0,CNASB1824    ,탕정우체국-PTS-0101-01-01,PTNTFM3064,탕정R1-PTS-0701-03-01,S3-P1,R02192,NTT
60,3652191,2021-01-04 18:04,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNYSB0001    ,False,R02251,0,True,4725584,0,CNYSP0198    ,예산신양우체국-PTS-0101-01-01,PTNTFM5480,예산-PTS-0914-01-01,S7-P36,R02251,NTT
61,3652191,2021-01-04 18:04,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNYSB0001    ,False,R02251,0,True,4725584,0,CNYSP0198    ,예산신양우체국-PTS-0101-01-01,PTNTFM5480,예산-PTS-0914-01-01,S7-P36,R02251,NTT
62,3652211,2021-01-04 18:08,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNHSB0156    ,False,R02280,0,True,4730395,0,CNHSP0258    ,홍성홍북우체국-PTS-0101-01-01,PTNTFM3064,홍북R1-PTS-0207-07-01,S3-P1,R02280,NTT
63,3652211,2021-01-04 18:08,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNHSB0156    ,False,R02280,0,True,4730395,0,CNHSP0258    ,홍성홍북우체국-PTS-0101-01-01,PTNTFM3064,홍북R1-PTS-0207-07-01,S3-P1,R02280,NTT
64,3652234,2021-01-04 18:12,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNCYB0001    ,False,R02304,0,True,4724064,0,CNCYB0031    ,청양대치우체국-PTS-0101-01-01,PTNTFM5480,청양-PTS-0605-01-01,S7-P37,R02304,NTT
65,3652234,2021-01-04 18:12,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNCYB0001    ,False,R02304,0,True,4724064,0,CNCYB0031    ,청양대치우체국-PTS-0101-01-01,PTNTFM5480,청양-PTS-0605-01-01,S7-P37,R02304,NTT
66,3652240,2021-01-04 18:11,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNYSB0151    ,False,R02251,0,True,4730423,0,CNYSB0745    ,예산응봉우체국-PTS-0101-01-01,PTNTFM3064,응봉R1-PTS-0205-03-01,S3-P1,R02251,NTT
67,3652240,2021-01-04 18:11,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNYSB0151    ,False,R02251,0,True,4730423,0,CNYSB0745    ,예산응봉우체국-PTS-0101-01-01,PTNTFM3064,응봉R1-PTS-0205-03-01,S3-P1,R02251,NTT
68,4060769,2021-01-26 6:01,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_NK,PowerFail,GGGLB0002    ,False,R00567,0,True,4327276,0,GGNYB8184    ,드림프라자지상_6남양주선관위-PTS-GG-NAMYANGJU,PTN320ALU,구리-PTS-0616-01-01,r1sr1sl17/ETHLocPort#18#1,R00567,TT
69,4060769,2021-01-26 6:01,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_NK,PowerFail,GGGLB0002    ,False,R00567,0,True,4327276,0,GGNYB8184    ,드림프라자지상_6남양주선관위-PTS-GG-NAMYANGJU,PTN320ALU,구리-PTS-0616-01-01,r1sr1sl17/ETHLocPort#18#1,R00567,TT
70,3652629,2021-01-04 18:44,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CBYDB0001    ,False,R02475,0,True,4758885,0,CBYDP0219    ,CB양강우체국-PTS-0101-01-01,PTNTFM5480,충영동-PTS-0108-01-01,S8-P36,R02475,NTT
71,3652629,2021-01-04 18:44,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CBYDB0001    ,False,R02475,0,True,4758885,0,CBYDP0219    ,CB양강우체국-PTS-0101-01-01,PTNTFM5480,충영동-PTS-0108-01-01,S8-P36,R02475,NTT
72,3652711,2021-01-04 18:52,nonFM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,SLYD01746    ,False,R00447,0,True,0,0,0,0,PTNTFM1010,SL포스트타워1F우정사업정보센터Y-PTS-0101-01-01,PSUA,0,TT
73,3652711,2021-01-04 18:52,nonFM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,SLYD01746    ,False,R00447,0,True,0,0,0,0,PTNTFM1010,SL포스트타워1F우정사업정보센터Y-PTS-0101-01-01,PSUA,0,TT
74,3647157,2021-01-04 8:22,nonFM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,SLGLB4260    ,False,R00437,0,True,0,0,0,0,PTNTFM1010,SL신용보증기금구로지점-PTS-0101-01-01,PSUA,0,TT
75,3647157,2021-01-04 8:22,nonFM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,SLGLB4260    ,False,R00437,0,True,0,0,0,0,PTNTFM1010,SL신용보증기금구로지점-PTS-0101-01-01,PSUA,0,TT
76,3652835,2021-01-04 19:05,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNYSB0146    ,False,R02251,0,True,4730415,0,CNYSB0253    ,예산신암우체국-PTS-0101-01-01,PTNTFM3064,신암R2-PTS-0110-04-01,S3-P1,R02251,TT
77,3652835,2021-01-04 19:05,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNYSB0146    ,False,R02251,0,True,4730415,0,CNYSB0253    ,예산신암우체국-PTS-0101-01-01,PTNTFM3064,신암R2-PTS-0110-04-01,S3-P1,R02251,TT
78,3648075,2021-01-04 10:10,nonFM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,GBUSB0409    ,False,R01951,0,True,0,0,0,0,PTNTFM1010,DG교안우체국-PTS-0101-01-01,PSUB,0,TT
79,3652964,2021-01-04 19:24,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CBYDB0076    ,False,R02475,0,True,4771911,0,CBYDP0200    ,CB추풍령우체국-PTS-0101-01-01,PTNTFM3064,황간R1-PTS-0101-01-01,S3-P3,R02475,TT
80,3652964,2021-01-04 19:24,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CBYDB0076    ,False,R02475,0,True,4771911,0,CBYDP0200    ,CB추풍령우체국-PTS-0101-01-01,PTNTFM3064,황간R1-PTS-0101-01-01,S3-P3,R02475,TT
81,3647994,2021-01-04 10:00,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,GNHYB0001    ,False,R01353,0,True,4645128,0,GNHY00017    ,함양지리산국립공원-PTS-0101-01-01,PTNTFM5480,함양-PTS-0405-01-01,S8-P40,R01353,TT
82,3647994,2021-01-04 10:00,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,GNHYB0001    ,False,R01353,0,True,4645128,0,GNHY00017    ,함양지리산국립공원-PTS-0101-01-01,PTNTFM5480,함양-PTS-0405-01-01,S8-P40,R01353,TT
83,3648075,2021-01-04 10:10,nonFM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,GBUSB0409    ,False,R01951,0,True,0,0,0,0,PTNTFM1010,DG교안우체국-PTS-0101-01-01,PSUB,0,TT
84,3648115,2021-01-04 10:13,nonFM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNCAB0839    ,False,R02131,0,True,0,0,0,0,PTNTFM1010,CN수신우체국-PTS-0101-01-01,PSUA,0,TT
85,3648115,2021-01-04 10:13,nonFM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNCAB0839    ,False,R02131,0,True,0,0,0,0,PTNTFM1010,CN수신우체국-PTS-0101-01-01,PSUA,0,TT
86,3648333,2021-01-04 10:38,nonFM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNBLB0647    ,False,R02314,0,True,0,0,0,0,PTNTFM1010,대림빌딩신용보증기금-PTS-0101-01-01,PSUA,0,TT
87,3648333,2021-01-04 10:38,nonFM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNBLB0647    ,False,R02314,0,True,0,0,0,0,PTNTFM1010,대림빌딩신용보증기금-PTS-0101-01-01,PSUA,0,TT
