제목,URL,다시 읽기,메모,분류
Feature Engineering 기본 정리,http://hero4earth.com/blog/learning/2018/01/29/Feature_Engineering_Basic/,Yes,,Data Preprocessing
성능 향상을 위한 SQL 작성법,https://d2.naver.com/helloworld/1155,Yes,SQL Index에 대한 자료,ing
16 metrics network effects/,https://a16z.com/2018/12/13/16-metrics-network-effects/,Yes,네트워크 이펙트가 있는 비즈니스를 측정하는 16가지 항목,Data Analysis
나만의 파이썬 패키지 만들기,https://code.tutsplus.com/ko/tutorials/how-to-write-your-own-python-packages--cms-26076,Yes,,Python
자연어처리 Gitbook,https://kh-kim.gitbook.io/natural-language-processing-with-pytorch,No,김기현님의 Gitbook,NLP
함수형 프로그래밍(하스켈),https://www.youtube.com/watch?v=qGaTueucw0g&feature=share,Yes,,Functional Programming
Kafka’s Streams + ML/DL,https://www.youtube.com/watch?v=-q7CyIExBKM,Yes,카프카를 사용한 실시간 데이터 파이프라인,Data Engineering
Kafka + Tensorflow,https://www.slideshare.net/KaiWaehner/unleashing-apache-kafka-and-tensorflow-in-the-cloud-108325306,Yes,,Data Engineering
MLOps,https://github.com/EthicalML/awesome-machine-learning-operations,Yes,,Data Engineering
Serving,https://yjucho1.github.io/tensorflow/tensorflow-serving/,Yes,,Serving
Pandas 1.0 변화 번역,https://medium.com/@initialkommit/%EB%B2%88%EC%97%AD-towards-pandas-1-0-865296b65a5,Yes,,Python
"Luigi ",https://labs.getninjas.com.br/using-luigi-to-create-and-monitor-pipelines-of-batch-jobs-eb8b3cd2a574,Yes,https://medium.com/@initialkommit/batch-job-%ED%8C%8C%EC%9D%B4%ED%94%84%EB%9D%BC%EC%9D%B8%EC%9D%84-%EB%A7%8C%EB%93%A4%EA%B3%A0-%EB%AA%A8%EB%8B%88%ED%84%B0%EB%A5%BC-%EC%9C%84%ED%95%9C-luigi-eaa6c399a24c,Data Engineering
Netflix 데이터 엔지니어,https://www.dataengineeringpodcast.com/using-notebooks-as-the-unifying-layer-for-data-roles-at-netflix-with-matthew-seal-episode-54/,Yes,,Interview
Data Engineering with test,https://medium.com/@josh.temple/automated-testing-in-the-modern-data-warehouse-d5a251a866af,Yes,,Data Engineering
Pandas 1.0 jupyter notebook,http://nbviewer.jupyter.org/github/datapythonista/towards_pandas_1/blob/master/Towards%20pandas%201.0%20Executed.ipynb,Yes,,Python
Data engineer potcast,https://www.dataengineeringpodcast.com/,No,,Data Engineering
파이썬 argparse,https://sjquant.github.io/파이썬으로-만드는-커맨드라인-프로그램-1/,Yes,,Python
결제 시스템을 구축하며 배운 분산 아키텍쳐,https://blog.pragmaticengineer.com/distributed-architecture-concepts-i-have-learned-while-building-payments-systems/,No,,Data Engineering
넷플릭스에서 Jupyter 사용,https://medium.com/netflix-techblog/notebook-innovation-591ee3221233,Yes,,"Data Analysis, Data Engineering"
Face ID 구현,https://towardsdatascience.com/how-i-implemented-iphone-xs-faceid-using-deep-learning-in-python-d5dbaa128e1d,Yes,,Deeplearning
Hashing 샘플링,https://medium.com/simpl-under-the-hood/deterministic-a-b-tests-via-the-hashing-trick-d1ea49483202,Yes,,Data Analysis
머신러닝 적용의 실체 (하용호님),https://brunch.co.kr/@kakao-it/104,No,역시 멋진 용호님,Deeplearning
https://wizardforcel.gitbooks.io/sicp-in-python/icp python,https://wizardforcel.gitbooks.io/sicp-in-python/,No,함수형 프로그래밍,Python
"Model Evaluation, Model Selection, and Algorithm Selection in ML",https://arxiv.org/pdf/1811.12808.pdf,Yes,,Machine Learning
Deploying Machine Learning Models to Production,https://www.slideshare.net/AnassBensrhirDatasci/deploying-machine-learning-models-to-production,Yes,,MLOps
Python Fire,https://github.com/google/python-fire,Yes,Python CLI 만들 때 용이. Argparse의 대항마랄까,Python
FBLearner,https://code.fb.com/ml-applications/introducing-fblearner-flow-facebook-s-ai-backbone/,No,,MLOps
Terraform 튜토리얼,https://www.44bits.io/ko/post/terraform_introduction_infrastrucute_as_code,Yes,,Infra
알파스타,https://deepmind.com/blog/alphastar-mastering-real-time-strategy-game-starcraft-ii/,No,,Reinforcement Learning
Pytorch Serving,https://dreamgonfly.github.io/2018/01/19/pytorch-on-aws-lambda.html,Yes,,MLOps
Latex 수식,https://ko.wikipedia.org/wiki/%EC%9C%84%ED%82%A4%EB%B0%B1%EA%B3%BC:TeX_%EB%AC%B8%EB%B2%95,No,,Latex
PyQT 강의,https://opentutorials.org/module/544,No,,Python
